1.167080,0.249447,-0.322694
0.387885,0.422262,-0.406051
0.372035,0.422259,-0.405393
0.374381,0.428201,-0.386534
0.388334,0.416284,-0.388026
0.439341,0.431830,0.563577
0.422913,0.437993,0.555481
0.417148,0.437286,0.571921
0.433715,0.437167,0.578101
1.047030,0.410046,0.743768
1.026290,0.404037,0.740835
1.024990,0.409276,0.758624
1.043680,0.403277,0.763080
1.080270,0.375458,0.091980
1.064100,0.375381,0.090765
1.064070,0.374623,0.109569
1.079120,0.374711,0.110325
0.404041,0.364568,-0.345004
0.387594,0.316826,-0.288692
0.372176,0.275041,-0.228801
0.353678,0.233254,-0.167537
0.342716,0.191466,-0.102959
0.325885,0.155639,-0.040986
0.314502,0.125768,0.026250
0.301670,0.095889,0.102266
0.295916,0.101778,0.173150
0.284723,0.131516,0.237319
0.276510,0.167213,0.301904
0.272657,0.222536,0.365693
0.267784,0.276127,0.418262
0.262189,0.335677,0.473501
0.258396,0.389278,0.516405
0.451926,0.336527,-0.355460
0.437412,0.294742,-0.295787
0.418227,0.252953,-0.232627
0.398110,0.211167,-0.172355
0.388629,0.175335,-0.103798
0.377414,0.139507,-0.039496
0.364779,0.109634,0.029439
0.352625,0.091677,0.104140
0.340279,0.097562,0.179192
0.333479,0.127295,0.247875
0.327021,0.162996,0.310225
0.317207,0.216578,0.371259
0.311622,0.276131,0.422718
0.307486,0.335684,0.474521
0.304845,0.389288,0.515424
0.497872,0.318659,-0.360325
0.484046,0.270913,-0.300143
0.471370,0.229123,-0.234664
0.455646,0.193296,-0.171504
0.444906,0.157465,-0.103951
0.432176,0.127594,-0.037322
0.421292,0.103676,0.038670
0.412013,0.096784,0.110192
0.400384,0.097166,0.185179
0.392511,0.120933,0.259885
0.386143,0.168558,0.318032
0.379599,0.222146,0.374878
0.373929,0.275736,0.428221
0.369606,0.335289,0.479917
0.364662,0.394857,0.516316
0.552379,0.288467,-0.363808
0.539484,0.246680,-0.301345
0.526993,0.204888,-0.232785
0.512774,0.175022,-0.170893
0.500679,0.151110,-0.102099
0.489678,0.115273,-0.029124
0.485150,0.103279,0.044119
