-0.294987,-0.709329,-0.547603
-0.301768,-0.734023,-0.529657
-0.300652,-0.764129,-0.523736
-0.287900,-0.765139,-0.501747
-0.267748,-0.764887,-0.507180
-0.272056,-0.758074,-0.525596
-0.270581,-0.721590,-0.540413
0.309500,-0.643031,-0.560341
0.318477,-0.632298,-0.534241
0.317997,-0.645090,-0.515574
0.315773,-0.657657,-0.501834
0.336917,-0.645487,-0.506906
0.333883,-0.632219,-0.535893
0.326064,-0.607840,-0.547049
0.317619,-0.607840,-0.547078
-0.260308,-0.571044,0.596302
-0.278260,-0.593969,0.575796
-0.276552,-0.592619,0.546475
-0.266281,-0.621378,0.523136
-0.244849,-0.639566,0.529443
-0.225297,-0.652570,0.552760
-0.210201,-0.653810,0.579733
-0.200425,-0.606892,0.597505
-0.183080,-0.601446,0.608860
-0.219556,-0.576871,0.593384
-0.240981,-0.570822,0.591528
-0.240226,-0.599338,0.562910
0.410877,-0.711611,0.540904
0.412400,-0.700970,0.568991
0.424640,-0.685159,0.588246
0.434436,-0.705662,0.531255
0.452035,-0.717674,0.532348
0.467189,-0.706396,0.543218
0.471859,-0.695318,0.557355
0.448259,-0.707027,0.553579
0.432527,-0.696571,0.577956
0.441825,-0.692270,0.605304
